[0.0, 160.0]
[1.0, 162.0]
[3.0, 163.0]
[5.0, 165.0]
[7.0, 166.0]
[9.0, 168.0]
[11.0, 170.0]
[13.0, 171.0]
[15.0, 173.0]
[17.0, 174.0]
[19.0, 176.0]
[21.0, 178.0]
[23.0, 179.0]
[25.0, 181.0]
[27.0, 183.0]
[29.0, 184.0]
[31.0, 186.0]
[33.0, 187.0]
[35.0, 189.0]
[37.0, 191.0]
[39.0, 192.0]
[41.0, 194.0]
[43.0, 195.0]
[45.0, 197.0]
[47.0, 199.0]
[49.0, 200.0]
[51.0, 202.0]
[53.0, 203.0]
[55.0, 205.0]
[57.0, 207.0]
[59.0, 208.0]
[61.0, 210.0]
[63.0, 211.0]
[65.0, 213.0]
[67.0, 215.0]
[69.0, 216.0]
[71.0, 218.0]
[73.0, 219.0]
[75.0, 221.0]
[77.0, 222.0]
[79.0, 224.0]
[81.0, 226.0]
[83.0, 227.0]
[85.0, 229.0]
[87.0, 230.0]
[89.0, 232.0]
[91.0, 233.0]
[93.0, 235.0]
[95.0, 237.0]
[97.0, 238.0]
[99.0, 240.0]
[101.0, 241.0]
[103.0, 243.0]
[105.0, 244.0]
[107.0, 246.0]
[109.0, 247.0]
[111.0, 249.0]
[113.0, 250.0]
[115.0, 252.0]
[117.0, 253.0]
[119.0, 255.0]
[121.0, 256.0]
[123.0, 258.0]
[125.0, 260.0]
[127.0, 261.0]
[129.0, 263.0]
[131.0, 264.0]
[133.0, 266.0]
[135.0, 267.0]
[137.0, 269.0]
[139.0, 270.0]
[141.0, 272.0]
[143.0, 273.0]
[145.0, 275.0]
[147.0, 276.0]
[149.0, 278.0]
[151.0, 279.0]
[153.0, 281.0]
[155.0, 282.0]
[157.0, 284.0]
[159.0, 285.0]
[161.0, 287.0]
[163.0, 288.0]
[165.0, 290.0]
[167.0, 291.0]
[169.0, 293.0]
[171.0, 294.0]
[173.0, 295.0]
[175.0, 297.0]
[177.0, 298.0]
[179.0, 300.0]
[181.0, 301.0]
[183.0, 303.0]
[185.0, 304.0]
[187.0, 306.0]
[189.0, 307.0]
[191.0, 308.0]
[193.0, 310.0]
[195.0, 311.0]
[197.0, 313.0]
[199.0, 314.0]
[201.0, 316.0]
[203.0, 317.0]
[205.0, 318.0]
[207.0, 320.0]
[209.0, 321.0]
[211.0, 323.0]
[213.0, 324.0]
[215.0, 325.0]
[217.0, 327.0]
[219.0, 328.0]
[221.0, 329.0]
[223.0, 331.0]
[225.0, 332.0]
[227.0, 334.0]
[229.0, 335.0]
[231.0, 336.0]
[233.0, 338.0]
[235.0, 339.0]
[237.0, 340.0]
[239.0, 342.0]
[241.0, 343.0]
[243.0, 344.0]
[245.0, 346.0]
[247.0, 347.0]
[249.0, 348.0]
[251.0, 349.0]
[253.0, 351.0]
[255.0, 352.0]
[257.0, 353.0]
[259.0, 355.0]
[261.0, 356.0]
[263.0, 357.0]
[265.0, 358.0]
[267.0, 360.0]
[269.0, 361.0]
[271.0, 362.0]
[273.0, 363.0]
[275.0, 364.0]
[277.0, 366.0]
[279.0, 367.0]
[281.0, 368.0]
[283.0, 369.0]
[285.0, 370.0]
[287.0, 372.0]
[289.0, 373.0]
[291.0, 374.0]
[293.0, 375.0]
[295.0, 376.0]
[297.0, 377.0]
[299.0, 378.0]
[301.0, 379.0]
[303.0, 380.0]
[305.0, 382.0]
[307.0, 383.0]
[309.0, 384.0]
[311.0, 384.0]
[313.0, 386.0]
[315.0, 387.0]
[317.0, 388.0]
[319.0, 389.0]
[321.0, 390.0]
[323.0, 390.0]
[325.0, 391.0]
[327.0, 392.0]
[329.0, 393.0]
[331.0, 394.0]
[333.0, 395.0]
[335.0, 396.0]
[337.0, 396.0]
[339.0, 397.0]
[341.0, 398.0]
[343.0, 399.0]
[345.0, 399.0]
[347.0, 400.0]
[349.0, 400.0]
[351.0, 401.0]
[353.0, 402.0]
[355.0, 402.0]
[357.0, 402.0]
[359.0, 403.0]
[361.0, 403.0]
