       X        Y   Velocity Heading(deg)
   332.0    580.0       1.00       -103.6
   331.5    578.1       1.00       -104.3
   331.0    576.1       1.00       -105.3
   330.5    574.2       1.00       -105.4
   329.9    572.3       1.00       -105.3
   329.4    570.3       1.00       -105.0
   328.9    568.4       1.00       -104.5
   328.4    566.5       1.00       -103.8
   328.0    564.5       1.00       -102.9
   327.5    562.6       1.00       -101.6
   327.1    560.6       1.00        -99.5
   326.9    558.6       1.00        -95.9
   326.7    556.6       0.99        -85.9
   327.1    554.7       0.98        -69.2
   328.1    553.0       1.00        -58.3
   329.2    551.3       1.00        -55.5
   330.4    549.7       1.00        -54.0
   331.6    548.1       1.00        -52.9
   332.8    546.5       1.00        -52.0
   334.1    544.9       1.00        -51.3
   335.3    543.3       1.00        -50.7
   336.6    541.8       1.00        -50.1
   337.9    540.3       1.00        -49.5
   339.2    538.8       1.00        -48.9
   340.5    537.3       1.00        -48.3
   341.8    535.8       1.00        -47.7
   343.2    534.3       1.00        -47.0
   344.6    532.8       1.00        -46.3
   346.0    531.4       1.00        -45.5
   347.4    530.0       1.00        -44.4
   348.8    528.6       1.00        -43.2
   350.3    527.3       1.00        -41.6
   351.8    526.0       1.00        -39.2
   353.4    524.7       1.00        -35.3
   355.1    523.6       0.99        -25.9
   357.0    523.0       0.96         -3.4
   358.9    523.4       0.99         17.5
   360.7    524.2       1.00         24.7
   362.5    525.1       1.00         27.9
   364.3    526.1       1.00         29.9
   366.0    527.1       1.00         31.3
   367.7    528.1       1.00         32.4
   369.4    529.2       1.00         33.4
   371.0    530.3       1.00         34.2
   372.7    531.5       1.00         35.0
   374.3    532.6       1.00         35.7
   375.9    533.8       1.00         36.3
   377.5    535.0       1.00         37.0
   379.1    536.2       1.00         37.6
   380.7    537.4       1.00         38.3
   382.3    538.7       1.00         39.0
   383.8    540.0       1.00         39.7
   385.3    541.3       1.00         40.5
   386.9    542.6       1.00         41.4
   388.3    543.9       1.00         42.4
   389.8    545.3       1.00         43.6
   391.2    546.7       1.00         45.1
   392.6    548.1       1.00         47.1
   394.0    549.6       1.00         49.8
   395.2    551.1       1.00         54.2
   396.3    552.8       0.99         63.4
   397.0    554.7       0.97         81.9
   396.8    556.7       1.00         97.3
   396.5    558.6       1.00        102.2
   396.0    560.6       1.00        104.8
   395.5    562.5       1.00        106.4
   394.9    564.4       1.00        107.6
   394.2    566.3       1.00        108.6
   393.6    568.2       1.00        109.3
   392.9    570.1       1.00        110.0
   392.2    572.0       1.00        110.6
   391.5    573.8       1.00        111.1
   390.8    575.7       1.00        111.5
   390.0    577.6       1.00        111.9
   389.3    579.4       1.00        112.3
   388.5    581.3       1.00        112.6
   387.8    583.1       1.00        112.9
   387.0    585.0       1.00        113.2
   386.2    586.8       1.00        113.5
   385.4    588.6       1.00        113.8
   384.6    590.4       1.00        114.1
   383.7    592.3       1.00        114.4
   382.9    594.1       1.00        114.6
   382.1    595.9       1.00        114.9
   381.2    597.7       1.00        115.2
   380.4    599.5       1.00        115.4
   379.5    601.3       1.00        115.7
   378.6    603.1       1.00        115.9
   377.8    604.9       1.00        116.2
   376.9    606.7       1.00        116.5
   376.0    608.5       1.00        116.8
   375.1    610.3       1.00        117.1
   374.2    612.1       1.00        117.4
   373.2    613.8       1.00        117.7
   372.3    615.6       1.00        118.1
   371.4    617.4       1.00        118.4
   370.4    619.1       1.00        118.8
   369.4    620.9       1.00        119.2
   368.4    622.6       1.00        119.7
   367.4    624.4       1.00        120.2
   366.4    626.1       1.00        120.8
   365.4    627.8       1.00        121.5
   364.3    629.5       1.00        122.3
   363.3    631.2       1.00        123.2
   362.1    632.8       1.00        124.3
   361.0    634.5       1.00        125.7
   359.8    636.1       1.00        127.6
   358.6    637.7       1.00        130.3
   357.2    639.1       1.00        134.8
   355.7    640.5       0.99        144.5
   354.0    641.4       0.99        159.8
   352.0    641.8       1.00        171.9
   350.1    642.0       1.00        177.6
   348.1    642.0       1.00       -179.0
   346.1    641.9       1.00       -176.7
   344.1    641.8       1.00       -175.0
   342.1    641.6       1.00       -173.7
   340.1    641.3       1.00       -172.6
   338.1    641.1       1.00       -171.7
   336.1    640.8       1.00       -170.9
   334.2    640.4       1.00       -170.2
   332.2    640.1       1.00       -169.6
   330.2    639.7       1.00       -169.0
   328.3    639.3       1.00       -168.5
   326.3    638.9       1.00       -168.0
   324.3    638.5       1.00       -167.6
   322.4    638.0       1.00       -167.1
   320.4    637.6       1.00       -166.7
   318.5    637.1       1.00       -166.3
   316.6    636.6       1.00       -165.9
   314.6    636.1       1.00       -165.5
   312.7    635.6       1.00       -165.2
   310.8    635.1       1.00       -164.8
   308.8    634.6       1.00       -164.4
   306.9    634.0       1.00       -164.0
   305.0    633.5       1.00       -163.6
   303.1    632.9       1.00       -163.1
   301.2    632.3       1.00       -162.7
   299.2    631.7       1.00       -162.2
   297.3    631.1       1.00       -161.6
   295.5    630.5       1.00       -161.0
   293.6    629.8       1.00       -160.4
   291.7    629.1       1.00       -159.6
   289.8    628.4       1.00       -158.6
   288.0    627.7       1.00       -157.3
   286.1    626.9       1.00       -155.7
   284.3    626.0       1.00       -153.2
   282.6    625.1       1.00       -148.5
   280.9    623.9       0.99       -136.8
   279.7    622.4       0.99       -122.8
   278.8    620.6       1.00       -115.0
   278.0    618.7       1.00       -111.0
   277.3    616.9       1.00       -108.6
   276.7    614.9       1.00       -106.8
   276.2    613.0       1.00       -105.5
   275.7    611.1       1.00       -104.4
   275.2    609.2       1.00       -103.5
   274.7    607.2       1.00       -102.8
   274.3    605.2       1.00       -102.2
   273.9    603.3       1.00       -101.6
   273.5    601.3       1.00       -101.1
   273.1    599.4       1.00       -100.7
   272.7    597.4       1.00       -100.3
   272.4    595.4       1.00        -99.9
   272.0    593.5       1.00        -99.5
   271.7    591.5       1.00        -99.2
   271.4    589.5       1.00        -98.9
