       X        Y   Velocity Heading(deg)
   280.0    250.0       1.00       -118.5
   279.0    248.2       1.00       -119.1
   278.0    246.5       1.00       -119.9
   277.0    244.8       1.00       -119.9
   276.1    243.0       1.00       -119.7
   275.1    241.3       1.00       -119.3
   274.1    239.5       1.00       -118.7
   273.1    237.8       1.00       -117.8
   272.2    236.0       1.00       -116.5
   271.4    234.2       1.00       -114.3
   270.6    232.3       1.00       -109.4
   270.0    230.4       0.98        -96.7
   270.1    228.4       1.00        -84.1
   270.4    226.4       1.00        -79.9
   270.8    224.5       1.00        -78.1
   271.3    222.5       1.00        -76.9
   271.7    220.6       1.00        -76.0
   272.2    218.6       1.00        -75.1
   272.8    216.7       1.00        -74.3
   273.3    214.8       1.00        -73.5
   273.9    212.9       1.00        -72.6
   274.5    211.0       1.00        -71.6
   275.2    209.1       1.00        -70.5
   275.9    207.2       1.00        -69.0
   276.6    205.3       1.00        -66.9
   277.4    203.5       1.00        -63.6
   278.4    201.7       0.99        -56.0
   279.6    200.2       0.94        -32.5
   281.6    199.7       0.99         -7.4
   283.6    199.7       1.00          1.3
   285.6    199.8       1.00          4.4
   287.6    200.0       1.00          6.3
   289.5    200.2       1.00          7.6
   291.5    200.5       1.00          8.7
   293.5    200.9       1.00          9.6
   295.5    201.2       1.00         10.5
   297.4    201.6       1.00         11.3
   299.4    202.0       1.00         12.0
   301.4    202.4       1.00         12.8
   303.3    202.9       1.00         13.7
   305.3    203.4       1.00         14.5
   307.2    203.9       1.00         15.5
   309.1    204.4       1.00         16.7
   311.0    205.0       1.00         18.1
   312.9    205.7       1.00         19.9
   314.8    206.4       1.00         22.5
   316.6    207.2       1.00         26.7
   318.4    208.2       0.99         36.2
   319.8    209.6       0.94         61.0
   320.2    211.5       0.99         83.8
   320.2    213.5       1.00         90.2
   320.2    215.5       1.00         92.8
   320.0    217.5       1.00         94.4
   319.9    219.5       1.00         95.6
   319.7    221.5       1.00         96.5
   319.4    223.5       1.00         97.2
   319.2    225.5       1.00         97.8
   318.9    227.4       1.00         98.4
   318.6    229.4       1.00         98.8
   318.3    231.4       1.00         99.3
   317.9    233.4       1.00         99.7
   317.6    235.4       1.00        100.1
   317.2    237.3       1.00        100.4
   316.9    239.3       1.00        100.8
   316.5    241.3       1.00        101.1
   316.1    243.2       1.00        101.4
   315.7    245.2       1.00        101.7
   315.3    247.1       1.00        102.1
   314.9    249.1       1.00        102.4
   314.4    251.1       1.00        102.7
   314.0    253.0       1.00        103.0
   313.5    255.0       1.00        103.4
   313.0    256.9       1.00        103.7
   312.6    258.9       1.00        104.1
   312.1    260.8       1.00        104.5
   311.6    262.7       1.00        104.9
   311.0    264.7       1.00        105.4
   310.5    266.6       1.00        105.8
   309.9    268.5       1.00        106.4
   309.4    270.4       1.00        106.9
   308.8    272.3       1.00        107.6
   308.2    274.3       1.00        108.3
   307.5    276.1       1.00        109.2
   306.8    278.0       1.00        110.2
   306.1    279.9       1.00        111.4
   305.4    281.8       1.00        113.0
   304.6    283.6       1.00        115.1
   303.7    285.4       1.00        118.1
   302.7    287.1       1.00        123.0
   301.5    288.7       0.99        133.1
   300.0    290.0       0.98        151.3
   298.1    290.6       1.00        167.1
   296.1    290.9       1.00        174.1
   294.1    291.0       1.00        177.9
   292.1    291.0       1.00       -179.7
   290.1    291.0       1.00       -178.0
   288.1    290.9       1.00       -176.6
   286.1    290.8       1.00       -175.6
   284.1    290.6       1.00       -174.7
   282.1    290.4       1.00       -173.9
   280.1    290.2       1.00       -173.3
   278.1    289.9       1.00       -172.7
   276.1    289.7       1.00       -172.2
   274.1    289.4       1.00       -171.8
   272.2    289.1       1.00       -171.3
   270.2    288.8       1.00       -171.0
   268.2    288.5       1.00       -170.6
   266.2    288.1       1.00       -170.3
   264.3    287.8       1.00       -170.0
   262.3    287.4       1.00       -169.7
   260.3    287.1       1.00       -169.4
   258.4    286.7       1.00       -169.1
   256.4    286.3       1.00       -168.8
   254.4    285.9       1.00       -168.6
   252.5    285.5       1.00       -168.3
   250.5    285.1       1.00       -168.1
   248.5    284.7       1.00       -167.8
   246.6    284.3       1.00       -167.6
   244.6    283.8       1.00       -167.4
   242.7    283.4       1.00       -167.1
   240.7    282.9       1.00       -166.9
   238.8    282.5       1.00       -166.6
   236.8    282.0       1.00       -166.4
   234.9    281.5       1.00       -166.1
   232.9    281.1       1.00       -165.9
   231.0    280.6       1.00       -165.6
   229.1    280.1       1.00       -165.3
   227.1    279.5       1.00       -165.0
   225.2    279.0       1.00       -164.7
   223.3    278.5       1.00       -164.4
   221.3    277.9       1.00       -164.0
   219.4    277.4       1.00       -163.6
   217.5    276.8       1.00       -163.2
   215.6    276.2       1.00       -162.7
   213.7    275.6       1.00       -162.2
   211.8    275.0       1.00       -161.5
   209.9    274.4       1.00       -160.7
   208.0    273.7       1.00       -159.7
   206.1    273.0       1.00       -158.4
   204.3    272.2       1.00       -156.6
   202.4    271.4       1.00       -153.7
   200.7    270.4       0.99       -144.7
   199.2    269.1       0.97       -124.6
   198.5    267.2       0.99       -106.9
   198.1    265.3       1.00        -99.5
   197.8    263.3       1.00        -95.6
   197.7    261.3       1.00        -93.1
   197.6    259.3       1.00        -91.4
   197.6    257.3       1.00        -90.1
   197.6    255.3       1.00        -89.1
   197.6    253.3       1.00        -88.3
   197.7    251.3       1.00        -87.6
   197.8    249.3       1.00        -87.0
   197.9    247.3       1.00        -86.6
   198.0    245.3       1.00        -86.2
   198.2    243.3       1.00        -85.8
   198.3    241.3       1.00        -85.5
   198.5    239.3       1.00        -85.3
   198.7    237.3       1.00        -85.1
   198.8    235.3       1.00        -85.0
   199.0    233.3       1.00        -84.9
   199.2    231.3       1.00        -84.9
   199.4    229.3       1.00        -84.9
   199.5    227.3       1.00        -85.1
   199.7    225.3       1.00        -85.5
   199.9    223.3       1.00        -86.2
   200.0    221.3       1.00        -88.1
   200.0    219.3       1.00        -91.3
   199.9    217.3       1.00        -93.7
   199.7    215.3       1.00        -94.4
   199.6    213.3       1.00        -94.6
   199.4    211.3       1.00        -94.5
   199.2    209.3       1.00        -94.3
   199.1    207.3       1.00        -93.9
   199.0    205.3       1.00        -93.4
   198.9    203.4       1.00        -92.8
   198.8    201.3       1.00        -91.9
   198.7    199.3       1.00        -90.7
   198.7    197.3       1.00        -89.0
   198.8    195.3       1.00        -86.5
   199.0    193.3       1.00        -81.9
   199.4    191.4       0.98        -70.6
   200.3    189.6       0.99        -56.2
   201.6    188.1       1.00        -49.7
   202.9    186.6       1.00        -48.6
   204.2    185.1       1.00        -47.8
   205.6    183.6       1.00        -47.3
   206.9    182.1       1.00        -46.8
   208.3    180.7       1.00        -46.4
   209.7    179.2       1.00        -46.1
   211.1    177.8       1.00        -45.8
   212.5    176.4       1.00        -45.5
   213.9    174.9       1.00        -45.3
   215.3    173.5       1.00        -45.0
   216.7    172.1       1.00        -44.8
   218.1    170.7       1.00        -44.6
   219.6    169.3       1.00        -44.4
