[40.0, 510.0]
[42.0, 510.0]
[44.0, 509.0]
[46.0, 508.0]
[48.0, 507.0]
[50.0, 507.0]
[52.0, 506.0]
[54.0, 505.0]
[56.0, 504.0]
[58.0, 503.0]
[60.0, 503.0]
[62.0, 502.0]
[64.0, 501.0]
[66.0, 500.0]
[68.0, 500.0]
[70.0, 499.0]
[72.0, 498.0]
[74.0, 497.0]
[76.0, 496.0]
[78.0, 495.0]
[80.0, 495.0]
[82.0, 494.0]
[84.0, 493.0]
[86.0, 492.0]
[88.0, 491.0]
[90.0, 491.0]
[92.0, 490.0]
[94.0, 489.0]
[96.0, 488.0]
[98.0, 487.0]
[100.0, 487.0]
[102.0, 486.0]
[104.0, 485.0]
[106.0, 484.0]
[108.0, 483.0]
[110.0, 482.0]
[112.0, 482.0]
[114.0, 481.0]
[116.0, 480.0]
[118.0, 479.0]
[120.0, 478.0]
[122.0, 477.0]
[124.0, 477.0]
[126.0, 476.0]
[128.0, 475.0]
[130.0, 474.0]
[132.0, 473.0]
[134.0, 472.0]
[136.0, 471.0]
[138.0, 471.0]
[140.0, 470.0]
[142.0, 469.0]
[144.0, 468.0]
[146.0, 467.0]
[148.0, 466.0]
[150.0, 465.0]
[152.0, 465.0]
[154.0, 464.0]
[156.0, 463.0]
[158.0, 462.0]
[160.0, 461.0]
[162.0, 460.0]
[164.0, 459.0]
[166.0, 458.0]
[168.0, 457.0]
[170.0, 457.0]
[172.0, 456.0]
[174.0, 455.0]
[176.0, 454.0]
[178.0, 453.0]
[180.0, 452.0]
[182.0, 451.0]
[184.0, 450.0]
[186.0, 449.0]
[188.0, 449.0]
[190.0, 448.0]
[192.0, 447.0]
[194.0, 446.0]
[196.0, 445.0]
[198.0, 444.0]
[200.0, 443.0]
[202.0, 442.0]
[204.0, 441.0]
[206.0, 440.0]
[208.0, 439.0]
[210.0, 438.0]
[212.0, 437.0]
[214.0, 436.0]
[216.0, 435.0]
[218.0, 434.0]
[220.0, 434.0]
[222.0, 433.0]
[224.0, 432.0]
[226.0, 431.0]
[228.0, 430.0]
[230.0, 429.0]
[232.0, 428.0]
[234.0, 427.0]
[236.0, 426.0]
[238.0, 425.0]
[240.0, 424.0]
[242.0, 423.0]
[244.0, 422.0]
[246.0, 421.0]
[248.0, 420.0]
[250.0, 419.0]
[252.0, 418.0]
[254.0, 417.0]
[256.0, 416.0]
[258.0, 415.0]
[260.0, 414.0]
[262.0, 413.0]
[264.0, 412.0]
[266.0, 411.0]
[268.0, 410.0]
[270.0, 409.0]
[272.0, 407.0]
[274.0, 406.0]
[276.0, 405.0]
[278.0, 404.0]
[280.0, 403.0]
[282.0, 402.0]
[284.0, 401.0]
[286.0, 400.0]
[288.0, 399.0]
[290.0, 398.0]
[292.0, 397.0]
[294.0, 395.0]
[296.0, 394.0]
[298.0, 393.0]
[300.0, 392.0]
[302.0, 391.0]
[304.0, 390.0]
[306.0, 389.0]
[308.0, 387.0]
[310.0, 386.0]
[313.0, 383.0]
[315.0, 382.0]
[317.0, 381.0]
[319.0, 380.0]
[321.0, 379.0]
[323.0, 377.0]
[325.0, 376.0]
[327.0, 375.0]
[329.0, 373.0]
[331.0, 372.0]
[333.0, 371.0]
[335.0, 370.0]
[337.0, 368.0]
[339.0, 367.0]
[341.0, 366.0]
[343.0, 364.0]
[345.0, 363.0]
[347.0, 362.0]
[349.0, 360.0]
[351.0, 359.0]
[353.0, 358.0]
[355.0, 356.0]
[357.0, 355.0]
[359.0, 353.0]
[361.0, 352.0]
[363.0, 350.0]
[365.0, 349.0]
[367.0, 347.0]
[369.0, 346.0]
[371.0, 344.0]
[373.0, 343.0]
[375.0, 341.0]
[377.0, 339.0]
[379.0, 338.0]
[381.0, 336.0]
[383.0, 334.0]
[385.0, 332.0]
[387.0, 331.0]
[389.0, 329.0]
[391.0, 327.0]
[393.0, 327.0]
[395.0, 325.0]
[397.0, 323.0]
[399.0, 321.0]
[401.0, 319.0]
[402.0, 317.0]
[404.0, 315.0]
[406.0, 313.0]
[407.0, 311.0]
[409.0, 309.0]
[411.0, 307.0]
[412.0, 305.0]
[414.0, 303.0]
[415.0, 301.0]
[416.0, 299.0]
[417.0, 297.0]
[419.0, 295.0]
[420.0, 293.0]
[421.0, 291.0]
[422.0, 289.0]
[422.0, 287.0]
[423.0, 285.0]
[424.0, 283.0]
[425.0, 281.0]
[425.0, 279.0]
[426.0, 277.0]
[426.0, 275.0]
[426.0, 273.0]
[427.0, 271.0]
[427.0, 269.0]
[427.0, 267.0]
[427.0, 265.0]
[427.0, 263.0]
[427.0, 261.0]
[426.0, 259.0]
[426.0, 257.0]
[425.0, 255.0]
[425.0, 253.0]
[425.0, 251.0]
[424.0, 249.0]
[424.0, 247.0]
[424.0, 245.0]
[424.0, 243.0]
[424.0, 241.0]
[424.0, 239.0]
[424.0, 237.0]
[424.0, 235.0]
[424.0, 233.0]
[425.0, 231.0]
[425.0, 229.0]
[426.0, 227.0]
[427.0, 225.0]
[428.0, 223.0]
[428.0, 221.0]
[429.0, 219.0]
[430.0, 217.0]
[431.0, 215.0]
[433.0, 213.0]
[434.0, 211.0]
[435.0, 209.0]
[437.0, 207.0]
[438.0, 205.0]
[440.0, 203.0]
[442.0, 201.0]
[443.0, 199.0]
[445.0, 197.0]
[447.0, 195.0]
[449.0, 194.0]
[451.0, 192.0]
[453.0, 190.0]
[455.0, 188.0]
[457.0, 187.0]
[459.0, 185.0]
[461.0, 183.0]
[463.0, 182.0]
[465.0, 180.0]
[467.0, 179.0]
[469.0, 178.0]
[471.0, 176.0]
[473.0, 175.0]
[475.0, 174.0]
[477.0, 172.0]
[479.0, 171.0]
[481.0, 170.0]
[483.0, 169.0]
[485.0, 167.0]
[487.0, 166.0]
[489.0, 165.0]
[491.0, 164.0]
[493.0, 163.0]
[495.0, 162.0]
[497.0, 161.0]
[499.0, 160.0]
[501.0, 159.0]
[503.0, 158.0]
[505.0, 157.0]
[507.0, 156.0]
[509.0, 155.0]
[511.0, 154.0]
[513.0, 153.0]
[515.0, 152.0]
[517.0, 151.0]
[519.0, 150.0]
[521.0, 149.0]
[523.0, 148.0]
[525.0, 147.0]
[527.0, 146.0]
[529.0, 145.0]
[531.0, 144.0]
[533.0, 144.0]
[535.0, 143.0]
[537.0, 142.0]
[539.0, 141.0]
[541.0, 140.0]
[543.0, 139.0]
[545.0, 139.0]
[547.0, 138.0]
[549.0, 137.0]
[551.0, 136.0]
[553.0, 135.0]
[555.0, 135.0]
[557.0, 134.0]
[559.0, 133.0]
[561.0, 132.0]
[563.0, 132.0]
[565.0, 131.0]
[567.0, 130.0]
[569.0, 129.0]
[571.0, 129.0]
[573.0, 128.0]
[575.0, 127.0]
[577.0, 126.0]
[579.0, 126.0]
[581.0, 125.0]
[583.0, 124.0]
[585.0, 124.0]
[587.0, 123.0]
[589.0, 122.0]
[591.0, 122.0]
[593.0, 121.0]
[595.0, 120.0]
[597.0, 120.0]
[599.0, 119.0]
[601.0, 118.0]
[603.0, 118.0]
[605.0, 117.0]
[607.0, 116.0]
